Real_Rating,Raw_star_rating,Text,RNN_raw,RNN_Class,CNN_raw,CNN_Class,Logistic_Regression_raw,Logistic_Regression_Class,Naive_Bayes_raw,Naive_Bayes_Class,Random_Forest_raw,Random_Forest_Class,NLTK_raw,NLTK_Class,TextBlob_raw,TextBlob_Class
Positive,4.0,"['got', 'treat', 'brother', 'hope', 'would', 'great', 'altern', 'use', 'food', 'help', 'train', 'surpris', 'treat', 'basic', 'hope', 'use', 'let', 'know', 'goe', 'mayb', 'get', 'new', 'trick', 'along', 'way']",4,Positive,4,Positive,4.0,Positive,4.0,Positive,4.0,Positive,0.0,Neutral,0.31212121212121213,Positive
Positive,4.0,"['come', 'lot', 'dog', 'seem', 'like', 'smell', 'pretti', 'bad']",4,Positive,4,Positive,4.0,Positive,4.0,Positive,4.0,Positive,0.0,Neutral,-0.6999999999999998,Negative
Positive,4.0,"['compar', 'name', 'brand', 'train', 'treat', 'smellqualitytextur', 'also', 'good', 'use', 'treat', 'ball']",4,Positive,4,Positive,4.0,Positive,4.0,Positive,4.0,Positive,0.0,Neutral,0.7,Positive
Positive,5.0,"['dog', 'love', 'work', 'great', 'train', 'small', 'puzzl', 'game']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.1625,Positive
Positive,4.0,"['larger', 'treat', 'expect', 'hope', 'train', 'treat', 'small', 'dog', 'indic', '3', 'treat', 'day', 'size', 'dognot', 'consid', 'train', 'indic', 'soft', 'might', 'one', 'time', 'kibbl', 'bag', 'plu', 'side', 'dog', 'love', 'sinc', 'pretti', 'high', 'calori', 'wont', 'work', 'go', 'donat', 'shelter']",4,Positive,4,Positive,4.0,Positive,4.0,Positive,4.0,Positive,0.0,Neutral,0.10200000000000001,Positive
Positive,5.0,"['like', 'they’r', 'small', 'dislik', 'they’r', 'small', 'dog', 'take', 'finger', 'i’m', 'tri', 'train', 'treat', 'don’t', 'lose', 'finger']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,-0.25,Negative
Positive,4.0,"['don’t', 'know', 'suppos', 'rock', 'hard', 'old', 'small', 'dog', 'can’t', 'hardli', 'chew', 'swallow', 'whole', 'contact', 'compani']",4,Positive,4,Positive,4.0,Positive,4.0,Positive,4.0,Positive,0.0,Neutral,-0.06041666666666666,Negative
Positive,5.0,"['huski', 'love', 'treat', 'reactiv', 'huski', 'treat', 'great', 'train', 'dog', 'handl', 'outsid', 'trigger', 'pup', 'go', '4lb', 'everi', '46wk', 'depend', 'individu', 'walk', 'mani', 'trigger']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.65,Positive
Positive,5.0,"['love', 'use', 'walk', 'reactiv', 'dog', 'give', 'gener', 'sinc', 'they’r', 'lowcalori', 'dog', 'love', 'tast', 'usual', 'don’t', 'like', 'tast', 'train', 'treat']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.25,Positive
Positive,5.0,"['perfect', 'size', 'train', 'good', 'valu', 'made', 'usa']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.85,Positive
Positive,5.0,"['joint', 'treat', 'dog', 'replac', 'treat', 'could', 'longer', 'get', 'dog', 'take', 'like', 'champ']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.0,Neutral
Positive,5.0,"['dog', 'love', 'give', 'treat', 'perfect', 'train', 'treat', 'dog', 'anyth']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.75,Positive
Positive,5.0,"['dog', 'liter', 'obsess', 'i’v', 'buy', 'littl', 'year', 'highli', 'recommend', 'great', 'train', 'pictur', 'sit', 'treat']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.8,Positive
Positive,5.0,"['great', 'valu', 'larg', 'bag', 'treat', 'dog', 'also', 'love']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.65,Positive
Positive,5.0,"['15', 'yr', 'old', 'chihuahua', 'love', 'think', 'they’r', 'treat', 'easi', 'calcul', 'base', 'dog', 'weight', 'mani', 'daili']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,-0.0666666666666667,Negative
Positive,5.0,"['puppi', 'love', 'work', 'well', 'need', 'good', 'buy']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.6,Positive
Positive,5.0,"['dog', 'love', 'come', 'run', 'soon', 'open', 'packag']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.25,Positive
Positive,5.0,"['use', 'regular', 'treat', 'due', 'dog', 'get', 'weight', 'fast', '😂', 'love']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.14375,Positive
Positive,5.0,"['dog', 'love', 'great', 'valu']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.65,Positive
Positive,4.0,"['act', 'like', 'it’', 'crack', 'perviou', 'treat', 'alway', 'non', 'meat', 'flavor', 'so…']",4,Positive,4,Positive,4.0,Positive,4.0,Positive,4.0,Positive,0.0,Neutral,0.0,Neutral
Positive,5.0,"['dog', 'love', 'train', 'process', 'never', 'smoother']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.5,Positive
Positive,5.0,"['play', 'video', 'want', 'get', 'small', 'treat', 'dog', 'put', 'christma', 'toy', 'harper', 'boston', 'terrier', 'picki', 'treat', 'isnt', 'good', 'snub', '', 'love', 'one', 'get', 'excit', 'must', 'good', 'thought', 'valu', 'size', 'bag', 'good', 'stay', 'pretti', 'fresh']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.4416666666666666,Positive
Positive,5.0,"['ive', 'bought', 'mani', 'time', 'dog', 'dont', 'get', 'tire', 'whenenv', 'hear', 'grab', 'bag', 'come', 'rush', 'get', 'one']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.0,Neutral
Positive,4.0,"['dog', 'like', 'good', 'walk', 'treat']",4,Positive,4,Positive,4.0,Positive,5.0,Positive,4.0,Positive,0.0,Neutral,0.7,Positive
Positive,5.0,"['great', 'qualiti', 'dog', 'favorit', 'treat', 'extrem', 'fast', 'ship']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.5,Positive
Positive,5.0,"['bit', 'hard', 'minpin', 'doggi', 'love', 'em']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.10416666666666666,Positive
Positive,5.0,"['new', 'rescu', 'easi', 'train', 'treat', 'small', 'easi', 'break', 'look', 'train', 'treat', 'tear', 'dog', 'love', 'made', 'train', 'much', 'easier']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.1465909090909091,Positive
Positive,4.0,"['give', 'dog', 'toy', 'time', 'hell', 'leav', 'alon', '5', 'minut', 'wait', 'everi', 'day', 'whine', 'im', 'late', 'gave', 'four', 'star', 'dog', 'corgi', 'eat', 'anyth', 'know', 'treat', 'excit', 'someth', 'eat', 'dont', 'love', 'price', 'probabl', 'look', 'someth', 'costeffect', 'dog', 'budget', 'start', 'use', 'fit', 'toy', 'im', 'sure', 'find', 'small', 'treat', 'dog', 'like', 'afford', 'price', 'isnt', 'outrag', 'much', 'spend', 'tight', 'budget']",4,Positive,4,Positive,4.0,Positive,4.0,Positive,4.0,Positive,0.0,Neutral,0.12448979591836735,Positive
Positive,4.0,"['husband', 'order', 'pup', 'trust', 'amazon', 'thought', 'look', 'good', 'need', 'good', 'size', 'bag', 'train', 'treat', 'motiv', 'girl', 'best', 'possibl', 'trick', 'although', 'theyr', 'littl', 'harder', 'side', 'expect', 'softierchewi', 'she', 'obsess', 'listen', 'well', 'know', 'shell', 'get', 'one', 'reward', 'time']",4,Positive,4,Positive,4.0,Positive,4.0,Positive,4.0,Positive,0.0,Neutral,0.575,Positive
Positive,5.0,"['small', 'dog', 'love', 'price', 'well', 'good', 'everyday', 'snack']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.1875,Positive
Positive,5.0,"['fussi', 'shihtzu', 'love', 'treat']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.5,Positive
Positive,5.0,"['product', 'great', 'train', 'time', 'dog', 'love', 'treat', 'easi', 'stomach', 'highli', 'would', 'recommend']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.65,Positive
Positive,5.0,"['2lb', 'bag', 'treat', 'great', '“bangforyourbuck”', 'dog', 'walker', 'dog', 'trainer', 'goto', 'nice', 'small', 'size', 'chewi', 'easi', 'dog', 'consum', 'also', 'nice', 'rich', 'flavor', 'assum', 'dog', 'fanat', 'subscrib', 'repurchas', 'mani', 'time', 'highli', 'recommend']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.425,Positive
Positive,5.0,"['play', 'video', 'believ', 'tast', 'fundament', 'come', 'treat', 'dog', 'choos', 'case', '2nd', 'bag', 'get', 'dog', 'still', 'love', 'expect', 'everi', 'night', 'two', 'piec', 'go', 'sleep', 'believ', 'worth', 'tast', 'hope', 'help']",5,Positive,4,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.26666666666666666,Positive
Positive,5.0,"['it’', 'fill', 'top', 'it’', 'perfect', 'dog', 'perfect', 'price', 'dog', 'littl', 'old', 'i’m', 'tri', 'find', 'littl', 'treat', 'give', 'throughout', 'day', 'without', 'feed', 'perfect']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.72,Positive
Positive,5.0,"['need', 'train', 'treat', '10', 'week', 'old', 'puppi', 'tri', 'homemad', 'treat', 'need', 'someth', 'premad', 'afford', 'well', 'quickli', 'avail', 'could', 'gone', 'bag', 'short', 'week', 'option', 'made', 'last', 'cut', 'small', 'piec', 'see', 'pic', '510', 'piec', 'one', 'made', 'last', 'one', 'month', 'far', 'depend', 'much', 'train', 'dog', 'puppi', 'he', '13', 'week', 'learn', '20', 'command', 'bag', 'finish', 'im', 'glad', 'enjoy', 'tast', 'acknowledg', 'treat', 'even', 'picki', 'eater']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.11666666666666667,Positive
Positive,5.0,"['perfect', 'size', 'train', 'dog', 'dog', 'love', 'tast', 'textur', 'perfect', 'advers', 'effect', 'dog', 'durabl', 'highli', 'recommend', 'dog', 'train']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.8333333333333334,Positive
Positive,4.0,"['fulfil', 'center', 'appar', 'air', 'condit', 'product', 'store', 'proper', 'temperatur', 'rock', 'trash']",4,Positive,4,Positive,4.0,Positive,4.0,Positive,4.0,Positive,0.0,Neutral,-0.05,Negative
Positive,4.0,"['get', 'chicken', 'peanut', 'butter', 'flavor', 'time', 'dog', 'seem', 'like', 'much', 'treat', 'harder', 'littl', 'bigger', 'name', 'brand', 'dog', 'like', 'brand', 'pretti', 'equal', 'real', 'complaint', 'amazon', 'chang', 'bag', 'one', 'cheaper', 'harder', 'use', 'seal', 'that', 'actual', 'annoy', 'enough', 'might', 'stop', 'buy', 'hope', 'chang', 'back']",4,Positive,4,Positive,4.0,Positive,4.0,Positive,4.0,Positive,0.0,Neutral,-0.10500000000000001,Negative
Positive,4.0,"['it’', 'great', 'treat', 'train']",4,Positive,4,Positive,4.0,Positive,5.0,Positive,4.0,Positive,0.0,Neutral,0.8,Positive
Positive,5.0,"['pit', 'puppi', 'love', 'treat', 'big', 'help', 'train', 'keep', 'pocket', 'time', 'get', 'soggi', 'soft', 'fall', 'apart', 'pocket', 'nutrit', 'enough', 'protein', 'make', 'good', 'addit', 'puppi', 'diet', 'muscl', 'growth', 'also', 'good', 'smell']",5,Positive,4,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.3333333333333333,Positive
Positive,4.0,"['dog', 'love', 'banana', 'flavor', 'one', 'stink', 'bad', 'chicken', 'flavor', 'one', 'better', 'don’t', 'smell']",4,Positive,4,Positive,4.0,Positive,5.0,Positive,4.0,Positive,0.0,Neutral,-0.07499999999999996,Negative
Positive,5.0,"['textur', 'uniform', 'good', 'right', 'packag', 'pup', 'love', 'tast']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.49523809523809526,Positive
Positive,4.0,"['bought', 'think', 'would', 'work', '3', 'month', 'old', 'blue', 'heeler', 'treat', 'size', 'littl', 'big', 'side', 'tri', 'train', 'use', 'product', 'hope', 'got', 'full', 'fast', 'took', 'hot', 'minut', 'chew']",4,Positive,4,Positive,4.0,Positive,4.0,Positive,4.0,Positive,0.0,Neutral,0.15,Positive
Positive,5.0,"['sever', 'dog', 'allergi', 'without', 'wag', 'train', 'treat', 'didnt', 'worri', 'factor', 'give', 'dog', 'without', 'breakout', 'itch', 'due', 'doesnt', 'wheat', 'corn', 'safe', 'everyon', 'cost', 'effici', 'realli', 'realli', 'love', 'peanut', 'butter', 'banana', 'usual', 'stick', 'love', 'choic', 'safe', 'treat', 'dont', 'keep', '100', 'review', 'final', 'found', 'someth', 'love', 'call', 'enjoy', 'without', 'buy', '10', 'differ', 'kind', 'thank', 'wag', 'anim', 'also', 'thank', 'make', 'happi', 'behav', 'well', 'toward', 'train', 'treat', 'come', 'coupl', 'well', 'without', 'treat', 'evertim', 'that', 'still', 'thank', 'wag', 'begin', 'train', 'still', 'get', 'treat', 'cours', 'realli', 'well', 'youv', 'doubt', 'think', 'cheap', 'nasti', 'snack', 'think', 'great', 'absolut', 'love', 'price', 'dog', 'get', 'select', 'actual', 'afford', 'buy', 'differ', 'flavor', 'wont', 'regret', 'your', 'fur', 'babi', 'love', 'hide', 'bag', 'treat', 'absolut', 'love', 'wag', 'treat']",5,Positive,4,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.3640625,Positive
Positive,5.0,"['got', 'decent', 'price', 'guess', 'got', 'amazon', 'day', 'someth', 'next', 'time', 'went', 'buy', 'doubl', 'price', 'use', 'anoth', 'treat', 'pound', 'treat', 'amazon', 'brand', 'cheaper', 'right', 'guess', 'ill', 'wait', 'anoth', 'sale', 'great', 'treat', 'good', 'valu', 'anymor', 'fit', 'great', 'treat', 'dispens', 'dog', 'love']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.3502645502645503,Positive
Neutral,3.0,"['cant', 'tell', 'differ', 'yet']",3,Neutral,3,Neutral,3.0,Neutral,3.0,Neutral,3.0,Neutral,0.0,Neutral,0.0,Neutral
Positive,5.0,"['perfect', 'littl', 'bite']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,1.0,Positive
Positive,5.0,"['i’v', 'get', 'treat', 'year', 'dog', 'love', 'it’', 'amaz', 'price', 'amount', 'treat', 'get', '3', 'dog', 'go', 'perfect', 'treat', 'mix', 'train', '']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.75,Positive
Positive,4.0,"['dog', 'eat', 'someth', 'good']",4,Positive,4,Positive,4.0,Positive,5.0,Positive,4.0,Positive,0.0,Neutral,0.7,Positive
Positive,5.0,"['dog', 'love', 'much', 'broke', 'close', 'bathroom', 'ate', 'whole', 'bag', 'one', 'sit', 'butperfect', 'size', 'train']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.3,Positive
Positive,5.0,"['dachshund', 'mix', 'everi', 'day', 'love', 'new', 'kind', 'order', 'differ', 'brand', 'wont', 'eat', '', 'go', 'back']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.3090909090909091,Positive
Neutral,3.0,"['smell', 'realli', 'good', 'dog', 'like', 'except', 'one', 'dog', 'bad', 'teeth', 'hard', 'time', 'chew']",3,Neutral,3,Neutral,3.0,Neutral,5.0,Positive,3.0,Neutral,0.0,Neutral,-0.0972222222222222,Negative
Positive,5.0,"['low', 'calori', 'overweight', 'pup', 'great', 'valu', 'money']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.4,Positive
Neutral,3.0,"['dog', 'love', 'aren’t', 'soft', 'fact', 'hard', 'rock', 'go', 'assum', 'it’', 'stale', 'bag', 'updat', 'got', 'second', 'bag', 'still', 'basic', 'rock', 'hard', 'expir', 'year', 'away', 'wonder', 'rock', 'solid', 'sold', '“soft', 'chew”']",3,Neutral,3,Neutral,3.0,Neutral,3.0,Neutral,3.0,Neutral,0.0,Neutral,-0.0425925925925926,Negative
Positive,5.0,"['pretti', 'picki', 'give', 'three', 'dog', 'treat', 'great', 'dog', 'go', 'nut', 'even', 'cat', 'meow', 'like', 'crazi', 'get', 'one', 'scent', 'bad', 'dog', 'treat', 'bought', 'smell', 'horribl', 'bad', 'treat', 'say', 'good', 'joint', 'seem', 'pep', 'step', 'got', 'reoccur', 'order', 'everi', 'two', 'week', 'dog', 'wait', 'door', 'tuesday', 'say', 'chicken', 'treat', 'run', 'sit', 'contain', 'keep', 'tri', 'varieti', 'treat', 'never', 'seen', 'excit', 'get', 'treat', 'fact', 'border', 'colli', 'would', 'grab', 'stuff', 'recycl', 'take', 'outsid', 'prevent', 'id', 'ask', 'would', 'rather', 'chicken', 'treat', 'would', 'set', 'ever', 'go', 'wait', 'treat', 'get', 'stuff', 'recycl', 'bring', 'want', 'treat', 'dog', 'like', 'much', 'almost', 'tempt', 'tri', 'today', 'take', 'tail', 'wag', 'testimoni', 'treat', 'flavor', 'use', 'treat', 'train', 'dog', 'smallish', 'pellet', 'would', 'work', 'pouch', 'dog', 'trainer', 'notic', 'mine', 'would', 'work', 'definit', 'keep', 'order', 'dog', 'may', 'smother', 'pillow', 'sleep', 'dont', 'get', 'fix', 'everi', 'tuesday', 'serious', 'tri', 'dog', 'thank']",5,Positive,3,Neutral,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,-0.15416666666666662,Negative
Positive,5.0,"['good', 'train', 'dog', 'seem', 'love']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.6,Positive
Positive,5.0,"['dog', 'receiv', 'treat', 'go', 'outsid', 'business…', 'love', 'them…', 'sometim', 'don’t', 'think', 'actual', 'go…', 'go', 'outsid', 'come', 'back', 'treat']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.16666666666666666,Positive
Positive,5.0,"['train', 'treat', 'big', 'break', 'smaller', 'piec']",5,Positive,5,Positive,4.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.0,Neutral
